eid,etid,lid,ino,name,cat,desc,datasheet
1,1,#N/A,1,CD4000,CMOS 4000 Series Logic Gates,DUAL 3-INPUT¾NOR GATE¾+ 1¾NOT GATE,
2,2,12,1,CD4001,CMOS 4000 Series Logic Gates,QUAD 2-INPUT NOR GATE,
3,3,12,1,CD4002,CMOS 4000 Series Logic Gates,DUAL 4-INPUT NOR GATE,
4,4,15,1,CD4006,CMOS 4000 Series Logic Gates,18-STAGE¾STATIC SHIFT REGISTER,
5,5,12,1,CD4007,CMOS 4000 Series Logic Gates,DUAL COMPLEMENTARY PAIR + 1¾NOT GATE,
6,6,#N/A,1,CD4008,CMOS 4000 Series Logic Gates,4-BIT BINARY FULL¾ADDER,
7,7,12,1,CD4009,CMOS 4000 Series Logic Gates,HEX INVERTING¾BUFFER¾(REPLACED BY 4049),
8,8,15,1,CD4010,CMOS 4000 Series Logic Gates,HEX NON-INVERTING BUFFER/CONVERTER (TO REPLACED BY 4050),
9,9,12,1,CD4011,CMOS 4000 Series Logic Gates,QUAD 2-INPUT¾NAND GATE,
10,10,12,1,CD4012,CMOS 4000 Series Logic Gates,DUAL 4-INPUT NAND GATE,
11,11,12,1,CD4013,CMOS 4000 Series Logic Gates,DUAL D-TYPE¾FLIP-FLOP,
12,12,15,1,CD4014,CMOS 4000 Series Logic Gates,8-STAGE STATIC SHIFT REGISTER,
13,13,12,1,CD4015,CMOS 4000 Series Logic Gates,DUAL 4-STAGE SHIFT REGISTER,
14,14,12,1,CD4016,CMOS 4000 Series Logic Gates,QUAD¾BILATERAL SWITCH,
15,15,12,1,CD4017,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH 10 DECODED OUTPUTS (5-STAGE¾JOHNSON COUNTER),
16,16,15,1,CD4018,CMOS 4000 Series Logic Gates,PRESETTABLE DIVIDE-BY-N COUNTER,
17,17,12,1,CD4019,CMOS 4000 Series Logic Gates,QUAD AND/OR SELECT¾GATE,
18,18,#N/A,1,CD4020,CMOS 4000 Series Logic Gates,14-STAGE¾BINARY RIPPLE COUNTER,
19,19,15,1,CD4021,CMOS 4000 Series Logic Gates,8-STAGE SHIFT REGISTER,
20,20,15,1,CD4022,CMOS 4000 Series Logic Gates,OCTAL COUNTER WITH 8 DECODED OUTPUTS (4-STAGE JOHNSON COUNTER),
21,21,12,1,CD4023,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT NAND GATE,
22,22,15,1,CD4024,CMOS 4000 Series Logic Gates,7-STAGE¾BINARY RIPPLE COUNTER,
23,23,12,1,CD4025,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT NOR GATE,
24,24,#N/A,1,CD4026,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH DECODED¾7-SEGMENT DISPLAY OUTPUTS¾AND DISPLAY ENABLE,
25,25,12,1,CD4027,CMOS 4000 Series Logic Gates,DUAL J-K MASTER-SLAVE FLIP-FLOP,
26,26,12,1,CD4028,CMOS 4000 Series Logic Gates,BCD TO DECIMAL (1-OF-10) DECODER,
