etid,name,hv,cat,desc,datasheet
,CD4000,0,CMOS 4000 Series Logic Gates,DUAL 3-INPUT NOR GATE + 1 NOT GATE,
,CD4001,0,CMOS 4000 Series Logic Gates,QUAD 2-INPUT NOR GATE,
,CD4002,0,CMOS 4000 Series Logic Gates,DUAL 4-INPUT NOR GATE,
,CD4006,0,CMOS 4000 Series Logic Gates,18-STAGE STATIC SHIFT REGISTER,
,CD4007,0,CMOS 4000 Series Logic Gates,DUAL COMPLEMENTARY PAIR + 1 NOT GATE,
,CD4008,0,CMOS 4000 Series Logic Gates,4-BIT BINARY FULL ADDER,
,CD4009,0,CMOS 4000 Series Logic Gates,HEX INVERTING BUFFER (REPLACED BY 4049),
,CD4010,0,CMOS 4000 Series Logic Gates,HEX NON-INVERTING BUFFER/CONVERTER (TO REPLACED BY 4050),
,CD4011,0,CMOS 4000 Series Logic Gates,QUAD 2-INPUT NAND GATE,
,CD4012,0,CMOS 4000 Series Logic Gates,DUAL 4-INPUT NAND GATE,
,CD4013,0,CMOS 4000 Series Logic Gates,DUAL D-TYPE FLIP-FLOP,
,CD4014,0,CMOS 4000 Series Logic Gates,8-STAGE STATIC SHIFT REGISTER,
,CD4015,0,CMOS 4000 Series Logic Gates,DUAL 4-STAGE SHIFT REGISTER,
,CD4016,0,CMOS 4000 Series Logic Gates,QUAD BILATERAL SWITCH,
,CD4017,0,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH 10 DECODED OUTPUTS (5-STAGE JOHNSON COUNTER),
,CD4018,0,CMOS 4000 Series Logic Gates,PRESETTABLE DIVIDE-BY-N COUNTER,
,CD4019,0,CMOS 4000 Series Logic Gates,QUAD AND/OR SELECT GATE,
,CD4020,0,CMOS 4000 Series Logic Gates,14-STAGE BINARY RIPPLE COUNTER,
,CD4021,0,CMOS 4000 Series Logic Gates,8-STAGE SHIFT REGISTER,
,CD4022,0,CMOS 4000 Series Logic Gates,OCTAL COUNTER WITH 8 DECODED OUTPUTS (4-STAGE JOHNSON COUNTER),
,CD4023,0,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT NAND GATE,
,CD4024,0,CMOS 4000 Series Logic Gates,7-STAGE BINARY RIPPLE COUNTER,
,CD4025,0,CMOS 4000 Series Logic Gates,TRIPLE 3-INPUT NOR GATE,
,CD4026,0,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH DECODED 7-SEGMENT DISPLAY OUTPUTS AND DISPLAY ENABLE,
,CD4027,0,CMOS 4000 Series Logic Gates,DUAL J-K MASTER-SLAVE FLIP-FLOP,
,CD4028,0,CMOS 4000 Series Logic Gates,BCD TO DECIMAL (1-OF-10) DECODER,
,CD4029,0,CMOS 4000 Series Logic Gates,"PRESETTABLE UP/DOWN COUNTER, BINARY OR BCD-DECADE",
,CD4030,0,CMOS 4000 Series Logic Gates,QUAD XOR GATE (REPLACED BY 4070),
,CD4031,0,CMOS 4000 Series Logic Gates,64-STAGE SHIFT REGISTER,
,CD4032,0,CMOS 4000 Series Logic Gates,TRIPLE SERIAL ADDER,
,CD4033,0,CMOS 4000 Series Logic Gates,DECADE COUNTER WITH DECODED 7-SEGMENT DISPLAY OUTPUTS AND RIPPLE BLANKING,
,CD4034,0,CMOS 4000 Series Logic Gates,8-STAGE BIDIRECTIONAL PARALLEL/SERIAL INPUT/OUTPUT REGISTER,
,CD4035,0,CMOS 4000 Series Logic Gates,4-STAGE PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER,
,CD4038,0,CMOS 4000 Series Logic Gates,TRIPLE SERIAL ADDER,
,CD4040,0,CMOS 4000 Series Logic Gates,12-STAGE BINARY RIPPLE COUNTER,
,CD4041,0,CMOS 4000 Series Logic Gates,QUAD TRUE/COMPLEMENT BUFFER,
,CD4042,0,CMOS 4000 Series Logic Gates,QUAD D-TYPE LATCH,
,CD4043,0,CMOS 4000 Series Logic Gates,QUAD NOR R/S LATCH WITH TRI-STATE OUTPUTS,
,CD4044,0,CMOS 4000 Series Logic Gates,QUAD NAND R/S LATCH WITH TRI-STATE OUTPUTS,
,CD4045,0,CMOS 4000 Series Logic Gates,21-STAGE COUNTER,
