lid,name,room,desc
,JlabDesk,605,Lab Tech Desk
,RR,605,Resistor Rack
,CR,605,Capacitor Rack
,SS,605,Speaker Shelves
,CAT,604,Cabinet A Top
,CBT,604,Cabinet B Top
,CCT,604,Cabinet C Top
,C1T,605,Cabinet 1 Top
,C2T,605,Cabinet 2 Top
,C3T,605,Cabinet 3 Top
,CA1,604,Cabinet A Drawer 1
,CA2,604,Cabinet A Drawer 2
,CA3,604,Cabinet A Drawer 3
,CA4,604,Cabinet A Drawer 4
,CA5,604,Cabinet A Drawer 5
,CB1,604,Cabinet B Drawer 1
,CB2,604,Cabinet B Drawer 2
,CB3,604,Cabinet B Drawer 3
,CB4,604,Cabinet B Drawer 4
,CB5,604,Cabinet B Drawer 5
,CC1,604,Cabinet C Drawer 1
,CC2,604,Cabinet C Drawer 2
,CC3,604,Cabinet C Drawer 3
,CC4,604,Cabinet C Drawer 4
,CC5,604,Cabinet C Drawer 5
,C11,605,Cabinet 1 Drawer 1
,C12,605,Cabinet 1 Drawer 2
,C13,605,Cabinet 1 Drawer 3
,C14,605,Cabinet 1 Drawer 4
,C15,605,Cabinet 1 Drawer 5
,C21,605,Cabinet 2 Drawer 1
,C22,605,Cabinet 2 Drawer 2
,C23,605,Cabinet 2 Drawer 3
,C24,605,Cabinet 2 Drawer 4
,C25,605,Cabinet 2 Drawer 5
,C31,605,Cabinet 3 Drawer 1
,C32,605,Cabinet 3 Drawer 2
,C33,605,Cabinet 3 Drawer 3
,C34,605,Cabinet 3 Drawer 4
,C35,605,Cabinet 3 Drawer 5
,SR1,604,Senior Station Desk 1
,SR2,604,Senior Station Desk 2
,SR3,604,Senior Station Desk 3
,SR4,604,Senior Station Desk 4
,SR5,604,Senior Station Desk 5
,SR6,604,Senior Station Desk 6
,SR7,604,Senior Station Desk 7
,SR8,604,Senior Station Desk 8
,SR9,604,Senior Station Desk 9
,SR10,604,Senior Station Desk 10
,SR11,604,Senior Station Desk 11
,SR12,604,Senior Station Desk 12
,SR13,604,Senior Station Desk 13
,SR14,604,Senior Station Desk 14
,SR15,604,Senior Station Desk 15
,SR16,604,Senior Station Desk 16
,SR17,604,Senior Station Desk 17
,JR1,605,Junior Station Desk 1
,JR2,605,Junior Station Desk 2
,JR3,605,Junior Station Desk 3
,JR4,605,Junior Station Desk 4
,JR5,605,Junior Station Desk 5
,JR6,605,Junior Station Desk 6
,JR7,605,Junior Station Desk 7
,JR8,605,Junior Station Desk 8
,JR9,605,Junior Station Desk 9
,JR10,605,Junior Station Desk 10
,JR11,605,Junior Station Desk 11
,JR12,605,Junior Station Desk 12
,JR13,605,Junior Station Desk 13
,JR14,605,Junior Station Desk 14
,JR15,605,Junior Station Desk 15
,JR16,605,Junior Station Desk 16
,BSAU,604,Bookshelf A Upper
,BSBU,604,Bookshelf B Upper
,BSCU,604,Bookshelf C Upper
,BSDU,604,Bookshelf D Upper
,BSEU,605,Bookshelf E Upper
,BSFU,605,Bookshelf F Upper
,BSGU,605,Bookshelf G Upper
,BSHU,605,Bookshelf H Upper
,BSIU,605,Bookshelf I Upper
,BSJU,605,Bookshelf J Upper
,BSKU,605,Bookshelf K Upper
,BSLU,605,Bookshelf L Upper
,BSAL,604,Bookshelf A Lower
,BSBL,604,Bookshelf B Lower
,BSCL,604,Bookshelf C Lower
,BSDL,604,Bookshelf D Lower
,BSEL,605,Bookshelf E Lower
,BSFL,605,Bookshelf F Lower
,BSGL,605,Bookshelf G Lower
,BSHL,605,Bookshelf H Lower
,BSIL,605,Bookshelf I Lower
,BSJL,605,Bookshelf J Lower
,BSKL,605,Bookshelf K Lower
,BSLL,605,Bookshelf L Lower
