lid,Part Name,Part Number,Category,Desc
11,Safety Goggles,,Assorted Tools,
11,Screwdrivers,,Assorted Tools,
11,Wire Cutters,,Assorted Tools,
12,QUAD 2-INPUT NOR GATE,CD4001,4XXX Series CMOS chips,
12,DUAL 4-INPUT NOR GATE,CD4002,4XXX Series CMOS chips,
12,DUAL COMPLEMENTARY PAIR + 1ÊNOT GATE,CD4007,4XXX Series CMOS chips,
12,4-BIT BINARY FULLÊADDER,CD4008/MC14008,4XXX Series CMOS chips,
12,Hex Buffer/CMOS-TTL Converter,CD4009,4XXX Series CMOS chips,
12,QUAD 2-INPUTÊNAND GATE,CD4011,4XXX Series CMOS chips,
12,DUAL 4-INPUT NAND GATE,CD4012,4XXX Series CMOS chips,
12,DUAL D-TYPEÊFLIP-FLOP,CD4013,4XXX Series CMOS chips,
12,DUAL 4-STAGE SHIFT REGISTER,CD4015,4XXX Series CMOS chips,
12,QUADÊBILATERAL SWITCH,CD4016,4XXX Series CMOS chips,
12,DECADE COUNTER WITH 10 DECODED OUTPUTS (5-STAGEÊJOHNSON COUNTER),CD4017,4XXX Series CMOS chips,
12,QUAD AND/OR SELECTÊGATE,CD4019,4XXX Series CMOS chips,
12,TRIPLE 3-INPUT NAND GATE,CD4023,4XXX Series CMOS chips,
12,TRIPLE 3-INPUT NOR GATE,CD4025,4XXX Series CMOS chips,
12,DUAL J-K MASTER-SLAVE FLIP-FLOP,CD4027,4XXX Series CMOS chips,
12,BCD TO DECIMAL (1-OF-10) DECODER,CD4028,4XXX Series CMOS chips,
12,"PRESETTABLE UP/DOWN COUNTER, BINARY OR BCD-DECADE",CD4029,4XXX Series CMOS chips,
12,QUADÊXORÊGATE (REPLACED BY 4070),CD4030,4XXX Series CMOS chips,
12,4-STAGE PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER,CD4035,4XXX Series CMOS chips,
12,12-STAGE BINARY RIPPLE COUNTER,CD4040,4XXX Series CMOS chips,
13,QUAD TRUE/COMPLEMENT BUFFER,CD4041,4XXX Series CMOS chips,
13,QUAD D-TYPE LATCH,CD4042,4XXX Series CMOS chips,
13,QUAD NORÊR/S LATCHÊWITHÊTRI-STATEÊOUTPUTS,CD4043,4XXX Series CMOS chips,
